target,fold,model,n_features,n_train,n_test,R2,RMSE,MAE,best_params
english_5unit_participation,0,RandomForest,14,2580,646,0.6255604487941844,0.1595333707692123,0.11901147692768478,"{'n_estimators': 300, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 20}"
english_5unit_participation,0,HistGradientBoosting,14,2580,646,0.6207607281458849,0.16055259723551585,0.1195922054815096,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_5unit_participation,1,Ridge,14,2581,645,0.5452733697935358,0.18598090320589913,0.14160898824503657,{'ridge__alpha': 50.0}
english_5unit_participation,1,SGD (linear SVM),14,2581,645,0.5479279356960519,0.18543725658352264,0.14135353649884294,"{'sgdregressor__penalty': 'l1', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.001}"
english_5unit_participation,1,RandomForest,14,2581,645,0.5627387382019264,0.1823743092748046,0.13730701715706936,"{'n_estimators': 500, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 14}"
english_5unit_participation,1,HistGradientBoosting,14,2581,645,0.5194077872066291,0.19119719781225517,0.14435174570746773,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_5unit_participation,2,Ridge,13,2581,645,0.4920854024297785,0.19385032955330556,0.14106431809500286,{'ridge__alpha': 50.0}
english_5unit_participation,2,SGD (linear SVM),13,2581,645,0.4889799764496172,0.19444203385322587,0.14151719987953953,"{'sgdregressor__penalty': 'l2', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.01}"
english_5unit_participation,2,RandomForest,13,2581,645,0.5048956382836103,0.1913901454456873,0.1384748844277049,"{'n_estimators': 500, 'min_samples_leaf': 2, 'max_features': 0.3, 'max_depth': 14}"
english_5unit_participation,2,HistGradientBoosting,13,2581,645,0.5210699516015616,0.18823797370633716,0.1363942562683561,"{'min_samples_leaf': 60, 'max_leaf_nodes': 15, 'max_iter': 250, 'max_depth': 5, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
english_5unit_participation,3,Ridge,13,2581,645,0.5196778158530889,0.19600500216422073,0.14838821071218042,{'ridge__alpha': 100.0}
english_5unit_participation,3,SGD (linear SVM),13,2581,645,0.5207112853531668,0.19579402474494062,0.14805389143180084,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'adaptive', 'sgdregressor__alpha': 0.01}"
english_5unit_participation,3,RandomForest,13,2581,645,0.5885983931897072,0.18139855535016788,0.131025985930234,"{'n_estimators': 200, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 20}"
english_5unit_participation,3,HistGradientBoosting,13,2581,645,0.5794525690605887,0.18340379775137478,0.13534271435800557,"{'min_samples_leaf': 10, 'max_leaf_nodes': 31, 'max_iter': 150, 'max_depth': 3, 'learning_rate': 0.02, 'l2_regularization': 0.1}"
english_5unit_participation,4,Ridge,14,2581,645,0.44713811928499014,0.1876085054897669,0.13696656435719795,{'ridge__alpha': 100.0}
english_5unit_participation,4,SGD (linear SVM),14,2581,645,0.44920051445879017,0.18725825128654575,0.13639952119549073,"{'sgdregressor__penalty': 'elasticnet', 'sgdregressor__learning_rate': 'invscaling', 'sgdregressor__alpha': 0.01}"
english_5unit_participation,4,RandomForest,14,2581,645,0.5042954985624035,0.1776460812862228,0.12736270033077132,"{'n_estimators': 200, 'min_samples_leaf': 10, 'max_features': 0.3, 'max_depth': 8}"
english_5unit_participation,4,HistGradientBoosting,14,2581,645,0.4544695461012255,0.1863604284947306,0.13636705235318308,"{'min_samples_leaf': 20, 'max_leaf_nodes': 15, 'max_iter': 150, 'max_depth': 3, 'learning_rate': 0.02, 'l2_regularization': 1.0}"
